  ARCHIVOS SOSPECHOSOS  (RMS < 0.005) LISTA 2
======================================================================
  Archivo                                       RMS      Pico    Duración
  ---------------------------------------- --------  --------  ----------
  15_00_05_1_035_01.wav                      0.0000    0.0000      4.67 s
  15_00_05_1_050_01.wav                      0.0000    0.0000      4.66 s
  15_01_05_1_050_01.wav                      0.0000    0.0000      4.67 s
  15_04_05_1_050_01.wav                      0.0000    0.0000      4.64 s
  15_04_05_1_058_01.wav                      0.0000    0.0000      4.64 s
  15_06_05_1_050_01.wav                      0.0000    0.0000      4.64 s
  15_08_05_1_008_01.wav                      0.0000    0.0000      4.64 s
  15_08_05_1_050_01.wav                      0.0000    0.0000      4.64 s
  15_05_05_1_050_01.wav                      0.0001    0.0034      4.64 s
  15_03_05_1_050_01.wav                      0.0002    0.0035      4.64 s
  17_02_05_1_008_01.wav                      0.0002    0.0036      2.60 s
  17_03_05_1_008_01.wav                      0.0004    0.0085      1.69 s
  05_06_05_1_033_01.wav                      0.0011    0.0132      4.64 s
  12_02_05_1_070_01.wav                      0.0012    0.0463      4.59 s
  12_06_05_1_048_01.wav                      0.0013    0.0277      4.67 s
  12_07_05_1_032_01.wav                      0.0014    0.0208      4.64 s
  05_07_05_1_049_01.wav                      0.0016    0.0184      4.67 s
  17_02_05_1_028_01.wav                      0.0016    0.0159      2.60 s
  12_07_05_1_049_01.wav                      0.0016    0.0261      4.64 s
  05_06_05_1_022_01.wav                      0.0017    0.0259      4.64 s
  01_05_05_1_050_01.wav                      0.0019    0.0264      4.64 s
  05_07_05_1_020_01.wav                      0.0021    0.0384      4.67 s
  01_06_05_1_020_01.wav                      0.0021    0.0357      4.67 s
  01_06_05_1_011_01.wav                      0.0022    0.0370      4.67 s
  01_06_05_1_048_01.wav                      0.0023    0.0342      4.67 s
  12_06_05_1_042_01.wav                      0.0023    0.0316      4.67 s
  12_07_05_1_054_01.wav                      0.0024    0.0275      4.67 s
  05_06_05_1_029_01.wav                      0.0024    0.0205      4.67 s
  12_04_05_1_069_01.wav                      0.0025    0.0344      1.05 s
  20_06_05_1_040_01.wav                      0.0025    0.0375      4.64 s
  05_06_05_1_038_01.wav                      0.0026    0.0368      4.67 s
  12_01_05_1_049_01.wav                      0.0027    0.0378      4.64 s
  05_06_05_1_035_01.wav                      0.0028    0.0477      4.67 s
  12_01_05_1_050_01.wav                      0.0029    0.0411      4.67 s
  01_06_05_1_049_01.wav                      0.0030    0.0359      4.64 s
  13_08_05_1_015_01.wav                      0.0030    0.0616      2.11 s
  01_05_05_1_049_01.wav                      0.0031    0.0456      4.67 s
  12_01_05_1_034_01.wav                      0.0031    0.0456      4.64 s
  12_01_05_1_033_01.wav                      0.0031    0.0446      4.64 s
  12_07_05_1_046_01.wav                      0.0032    0.0375      4.64 s
